setting,w_bits,a_bits,accuracy,eval_time_s
FLOAT,,,0.9825231482585272,7.141628400000627
W8A8,8,8,0.9825231482585272,6.899375600012718
W8A6,8,6,0.9838252315918604,6.9201660999970045
W6A6,6,6,0.9838252315918604,7.090247800006182
W4A4,4,4,0.9864293982585272,7.086218900003587
